Timestamp,RSSI,Signal Quality (%),Data Throughput (Mbps),Latency_Before,Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),Noise_Floor,Channel_Utilization,Interference_Status,Channel,Decision
2025-05-05 12:53:47.210,-97.6531209786312,0,5.13229638421359,54.8836057003192,4G,-95.8107907135096,-105.452358509933,-99.9208915695625,39.97,Moderate,1,1
2025-05-05 13:00:01.631,-94.1431585940501,0,68.596932295175,46.5983870217512,5G,-90.6427728161521,-101.895905223359,-96.5706978951076,33.62,Moderate,149,1
2025-05-05 13:03:08.841,-94.5647646588091,0,38.2920382968694,30.3428276465881,5G,-90.4890999195482,-103.318303513064,-95.1024671205953,41.48,Moderate,48,1
2025-05-05 13:09:23.261,-85.6530919078429,0,4.03660850967379,99.887024252447,4G,-87.98528176509,-90.7700171286796,-86.1868698279335,50.23,High,6,1
2025-05-05 13:21:52.102,-90.3084068376564,0,9.24432588623979,81.5569312998631,4G,-87.3602938022399,-97.7952213721304,-89.8469835298982,32.66,Moderate,6,1
2025-05-05 13:28:06.522,-88.7822035205165,0,9.3926838678953,75.5671199430468,4G,-88.7670405736445,-94.7907276256827,-87.88241993585,32.66,Moderate,6,1
2025-05-05 13:31:13.732,-88.9711700360795,0,5.12285860271256,76.8541213598327,4G,-90.7046576181191,-94.8318250171416,-90.3419125411611,50.79,High,6,1
2025-05-05 13:37:28.153,-98.3870783385738,0,13.6655922087073,44.2184233604402,5G,-96.3504997447735,-106.016209193137,-100.800073374667,42.67,Moderate,44,1
2025-05-05 13:43:42.573,-94.6955169644142,0,65.6428495904103,23.462168595549,5G,-93.1382906106067,-102.768533859586,-93.6058349505774,30.31,Moderate,149,1
2025-05-05 13:46:49.783,-103.938358059658,0,79.8771664667797,23.6321416101207,5G,-99.6307848036232,-109.646294300443,-104.364393895408,40.43,Moderate,48,1
2025-05-05 13:53:04.203,-89.0201337155651,0,3.50934104454935,91.0930029645178,4G,-86.9577114440001,-98.6133898123556,-91.5111074310539,30.37,Moderate,6,1
2025-05-05 13:56:11.414,-97.5347158768556,0,49.1006660039444,20.1472869549255,5G,-98.4826950090414,-104.67735075083,-96.0888727113916,30.34,Moderate,48,1
2025-05-05 14:08:40.254,-95.0688897763359,0,32.2613291568877,28.0217654124037,5G,-98.777295624821,-100.298634640042,-94.4318419696306,37.42,Moderate,48,1
2025-05-05 14:11:47.464,-100.10191623631,0,12.5904408682005,40.2054902269447,5G,-98.8988207227761,-106.581517395814,-101.824131267257,15.87,Low,44,0
2025-05-05 14:24:16.305,-93.5316698819526,0,26.4055490628362,32.5586036807534,5G,-90.1245700231733,-103.085648238392,-93.3196564978595,17.75,Low,149,0
2025-05-05 14:27:23.515,-91.9550792938221,0,4.71047208825258,74.912384892447,4G,-93.6515944810129,-97.2866201750227,-94.9098731150176,29.38,Moderate,6,1
2025-05-05 14:46:06.776,-93.7893655197685,0,4.5914568812099,71.1798431210241,4G,-95.9100693550112,-100.714614204005,-91.3182510667107,24.87,Low,6,0
2025-05-05 14:49:13.987,-93.9584192810343,0,9.89388839273634,91.9449043222967,4G,-97.7117924690016,-99.3542098679474,-91.7390411086615,38.14,Moderate,1,1
2025-05-05 14:52:21.197,-90.5031476803986,0,9.4291830745751,79.3534112068283,4G,-95.1746809779642,-95.9394003660029,-92.0137890238557,25.92,Moderate,6,1
2025-05-05 15:11:04.458,-85.394298502141,0,6.63242393697986,52.3482983387527,4G,-88.7314648145802,-91.7041304200092,-87.8975064945903,20.88,Low,11,0
2025-05-05 15:14:11.668,-93.8200012166133,0,95.9712681451131,16.1868856353294,5G,-92.5866757075634,-101.448814673111,-94.7536988243479,49.66,Moderate,149,1
2025-05-05 15:20:26.088,-94.482611173434,0,99.9418149609251,32.2322632574871,5G,-94.7505099926207,-102.918336890906,-96.7594757007153,32.74,Moderate,153,1
2025-05-05 15:23:33.298,-92.1376267440934,0,9.19498849566296,76.513256631745,4G,-92.7273051266118,-100.115199495684,-91.7030601874926,35.68,Moderate,6,1
2025-05-05 15:26:40.509,-79.6091814270624,0,4.90180879748302,69.9143691987817,4G,-83.6921880759481,-87.9273291079203,-79.4740662772553,20.75,Low,11,0
2025-05-05 15:29:47.719,-92.6014837762801,0,8.58592525500368,62.9491325800906,4G,-91.7159414865476,-97.6898312008797,-90.296289907491,29.56,Moderate,6,1
2025-05-05 15:42:16.560,-94.8205272511615,0,84.3235075508286,15.1547946989378,5G,-96.46933870857,-101.102985969703,-96.8559678748716,36.11,Moderate,149,1
2025-05-05 15:45:23.770,-92.3098882260158,0,40.7684949434817,35.3048757253579,5G,-87.9896071709156,-101.797339586062,-89.686517302597,23.49,Low,149,0
2025-05-05 15:51:38.190,-104.233862172357,0,38.8668466394314,38.9769069045646,5G,-101.775492052047,-113.232066454613,-102.025125291413,38.76,Moderate,40,1
2025-05-05 15:57:52.610,-102.919514117428,0,72.5483697513888,44.4048958875681,5G,-100.121004228495,-112.721419990686,-103.036472433881,28.99,Moderate,48,1
