RSSI,Channel_Utilization,Noise_Floor,Latency_Before,Channel,Decision
-96.6602913711559,50.02,-97.9296828386504,30.3775033845119,44,1
-99.8264825634383,27.58,-101.841786511383,33.8246419235219,44,1
-101.127097554443,58.88,-99.4331627292952,12.6505700672049,44,1
-105.430141743803,24.94,-105.020891699078,33.6978176316165,40,0
-93.1329867494296,47.48,-91.8897710184973,49.3605294048985,48,1
-90.82004188811,32.48,-87.9714312159352,57.5491416408427,6,1
-92.0252220447645,14.64,-89.4839281147221,20.3346508923377,149,0
-95.4228113319578,38.68,-92.6116652551787,47.2214726078548,48,1
-91.1150844138734,21.49,-92.5057794822875,37.2528654619798,149,0
-93.8681853875176,51.39,-96.8644664762049,12.3258447018561,48,1
-88.6854646791659,21.69,-89.00135579507,12.7571973548372,153,0
-91.806726512829,33.91,-92.6835819382068,83.505964998237,6,1
-100.084433094135,34.06,-98.8736395068228,16.1110629274139,48,1
-90.4212164686428,38.29,-88.4397930687106,96.6297827765526,6,1
-94.1670756043723,31.89,-91.9381417368709,12.7922507216756,149,1
-95.3837913937199,48.12,-95.5086600190937,22.8427590982327,44,1
-88.6700213274023,38.99,-86.4296799882427,73.4765321682883,6,1
-91.4704265487286,33.92,-93.7919080977716,19.3181115806202,149,1
-91.8520081711456,27.87,-90.7590833315466,67.302725314937,6,1
-88.3640926509692,42.09,-89.6241372977702,89.1085531385061,6,1
-95.824602800193,29.98,-93.7505068109464,84.3077363263459,1,1
-86.0281714781881,40.15,-84.1743049805059,51.7399599934175,6,1
-88.2672320802745,31.53,-87.3749499427468,92.8824055324356,6,1
-97.6148632319886,27.45,-98.6804421712647,18.2447631304191,149,1
-100.317690731353,38.08,-101.836209934581,36.0279848942265,44,1
-96.9426129409795,51.53,-95.2727505616309,94.7011068124007,1,1
-99.3436461639586,35.28,-96.9680942737274,13.3339832543042,44,1
-88.755136408194,29.7,-87.8564081276082,54.720944883024,6,1
-88.2144597004802,45.29,-90.7409875130274,51.1606153725232,6,1
-97.9771160143802,26.16,-95.4178293298743,44.9975762241068,48,1
-95.9667912023276,37.21,-97.138624036458,56.6347130314278,1,1
-94.064257512696,21.28,-96.9533605771528,41.7027060571465,149,0
-89.0891455272528,63.15,-88.4747323293726,92.3233894223168,1,1
-86.9880575109955,27.46,-87.429772218077,18.8728740586741,157,1
-83.4338229308422,40.92,-82.2328510921312,92.0148316348199,6,1
-99.8555036720019,27.17,-99.9969606969084,14.3474030075696,48,1
-102.180064635008,22.5,-99.9049476084975,15.7924516845897,44,0
-89.5155482145482,31.25,-89.3410675985028,88.7424849581262,6,1
-99.3743702423295,21.77,-96.6527779261376,45.6602599826032,48,0
-97.818723982395,35.58,-99.3078357703402,81.1370638188738,1,1
